model,trial,position,variant,seconds,checksum,validation
ultraface-rfb-320,3,1,locality,0.027550291,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,0,base,0.04025075,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,1,locality,0.027403667,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,0,locality,0.028046375,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,1,base,0.040303416,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,0,locality,0.027274959,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,1,base,0.040395459,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,0,base,0.040441042,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,1,locality,0.027332625,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,0,base,0.040308334,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,1,locality,0.027296708,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,0,locality,0.027336875,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,1,base,0.040151708,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,0,locality,0.027260042,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,1,base,0.0402795,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
